"event","experiment time","system time","system time text"
"START",0.000000000E0,1766145685.608,"2025-12-19 14:01:25.608 UTC+02:00"
"PAUSE",3.245734479E2,1766146010.181,"2025-12-19 14:06:50.181 UTC+02:00"
